,initial_angle,arc_length,incidence angle,distance from mirror
0,0.0,0.0,0.0,0.0
1,2.0002000200020003e-05,1.2537948351395255e-07,-1.458806887603891e-11,-1.8290445411437245e-18
2,4.0004000400040005e-05,2.5074381637619095e-07,8.906073692409135e-12,-7.125405542729209e-19
3,6.000600060006001e-05,3.761190051832888e-07,5.088681650009783e-12,-7.454613162373018e-20
4,8.000800080008001e-05,5.01494032115503e-07,1.7159699039443832e-12,1.4059364129816586e-19
5,0.00010001000100010001,6.268677943234303e-07,1.4978690175061651e-12,3.283871153176054e-19
6,0.00012001200120012002,7.522413764103293e-07,1.738324609023488e-12,5.463270983806884e-19
7,0.00014001400140014003,8.776158100128015e-07,-1.6110321610145152e-13,5.261288739104322e-19
8,0.00016001600160016002,1.0029907045562066e-06,-3.2165520044030206e-12,1.2285400556502466e-19
9,0.00018001800180018,1.1283641189649869e-06,-2.5573592138196963e-12,-1.977708509413044e-19
10,0.00020002000200020003,1.253738368513605e-06,-3.993334912147806e-12,-6.984322187481325e-19
11,0.00022002200220022004,1.3791128235357785e-06,-5.947669945965798e-12,-1.4441180968753543e-18
12,0.00024002400240024003,1.5044868516347794e-06,-6.827867780479088e-12,-2.300155383841402e-18
13,0.00026002600260026,1.629862006097888e-06,-1.0540276140904919e-11,-3.6216441330911756e-18
14,0.00028002800280028006,1.7552367546065794e-06,-1.3233335591951987e-11,-5.28077025486327e-18
15,0.00030003000300030005,1.8806117423628675e-06,-1.6527241423366337e-11,-7.35287294596304e-18
16,0.00032003200320032004,2.005986906350635e-06,-2.026310952085448e-11,-9.893363625042258e-18
17,0.00034003400340034003,2.131362658206841e-06,-2.5478576967809903e-11,-1.3087759368607645e-17
18,0.00036003600360036,2.2567379948235895e-06,-2.9649891349160036e-11,-1.6805124477158598e-17
19,0.00038003800380038006,2.3821137936295183e-06,-3.498306252834723e-11,-2.1191153886327886e-17
20,0.00040004000400040005,2.5074891381693684e-06,-3.9176496253543066e-11,-2.610292060197999e-17
21,0.00042004200420042004,2.6328660373724067e-06,-4.727702311666665e-11,-3.203036716389802e-17
22,0.0004400440044004401,2.758242238569658e-06,-5.36233102582331e-11,-3.8753454099696864e-17
23,0.0004600460046004601,2.883618933128077e-06,-6.121140369951656e-11,-4.642793756482324e-17
24,0.00048004800480048006,3.008995588039131e-06,-6.869834994145988e-11,-5.5041106878392454e-17
25,0.0005000500050005,3.1343727989915044e-06,-7.758505434786976e-11,-6.476850460411669e-17
26,0.00052005200520052,3.259750548139837e-06,-8.782415242367548e-11,-7.577969915585721e-17
27,0.00054005400540054,3.385128667196356e-06,-9.89928056688912e-11,-8.819123093075033e-17
28,0.0005600560056005601,3.5105068642960054e-06,-1.1035975153612107e-10,-1.0202793761071446e-16
29,0.0005800580058005801,3.6358854745680387e-06,-1.2276472952766444e-10,-1.174200087893151e-16
30,0.0006000600060006001,3.7612643279179616e-06,-1.3578260724109495e-10,-1.3444427639006648e-16
31,0.0006200620062006201,3.8866436094768434e-06,-1.4987581147872064e-10,-1.5323559795632286e-16
32,0.0006400640064006401,4.012023384923753e-06,-1.6521293796535196e-10,-1.739499590193429e-16
33,0.0006600660066006601,4.137403540182329e-06,-1.8150478900552116e-10,-1.9670705764503026e-16
34,0.0006800680068006801,4.262783733895556e-06,-1.9789203041270954e-10,-2.2151879875247965e-16
35,0.0007000700070007,4.388164591883062e-06,-2.159513482071591e-10,-2.4859496407425177e-16
36,0.00072007200720072,4.513545841167016e-06,-2.34994805780014e-10,-2.780589063981901e-16
37,0.0007400740074007401,4.638927701365256e-06,-2.555745619816003e-10,-3.101033203987936e-16
38,0.0007600760076007601,4.764309648324964e-06,-2.7637314610256744e-10,-3.4475552354451334e-16
39,0.0007800780078007801,4.889692309544525e-06,-2.989681674087411e-10,-3.822409479941567e-16
40,0.0008000800080008001,5.015075202619566e-06,-3.221453716916009e-10,-4.2263246668758403e-16
41,0.0008200820082008201,5.14045876259785e-06,-3.4700098540345185e-10,-4.661406855534412e-16
42,0.0008400840084008401,5.265842963578553e-06,-3.7346812859815975e-10,-5.1296768844948e-16
43,0.0008600860086008601,5.3912274409899754e-06,-4.0063144973753284e-10,-5.632006534094013e-16
44,0.0008800880088008802,5.5166125069591565e-06,-4.292749783536777e-10,-6.170253248891958e-16
45,0.0009000900090009002,5.64199798584713e-06,-4.589571223711879e-10,-6.745718834667533e-16
46,0.0009200920092009201,5.767384318748442e-06,-4.907867793978616e-10,-7.361098379718966e-16
47,0.0009400940094009401,5.892770874064914e-06,-5.231764279680956e-10,-8.017091280975922e-16
48,0.0009600960096009601,6.018158213834227e-06,-5.57538980911973e-10,-8.716174577318383e-16
49,0.0009800980098009801,6.143545880344563e-06,-5.92722631948526e-10,-9.45937565439729e-16
50,0.001000100010001,6.268934288557884e-06,-6.297727157136639e-10,-1.0249037637992459e-15
51,0.00102010201020102,6.394323377697521e-06,-6.685357881842198e-10,-1.1087308573369145e-15
52,0.00104010401040104,6.519712850937186e-06,-7.082648840586237e-10,-1.1975398180631778e-15
53,0.00106010601060106,6.6451033342032605e-06,-7.505338858068114e-10,-1.2916496247120583e-15
54,0.00108010801080108,6.770494037240073e-06,-7.933562170251872e-10,-1.3911291185234724e-15
55,0.0011001100110011,6.8958857842841935e-06,-8.388039195926468e-10,-1.4963082074286505e-15
56,0.0011201120112011203,7.021278092133412e-06,-8.856625479186577e-10,-1.6073634782877897e-15
57,0.0011401140114011402,7.146670747448651e-06,-9.333950052960497e-10,-1.7244043564598437e-15
58,0.0011601160116011602,7.272064293309146e-06,-9.833675806630924e-10,-1.847712304283445e-15
59,0.0011801180118011802,7.39745857547684e-06,-1.0351922993128999e-09,-1.9775194995613104e-15
60,0.0012001200120012002,7.522853576928887e-06,-1.0888253129857591e-09,-2.114052751264186e-15
61,0.0012201220122012202,7.648249174127714e-06,-1.1439580478297072e-09,-2.2575000538421952e-15
62,0.0012401240124012402,7.77364554098911e-06,-1.2010262004962988e-09,-2.4081043758897777e-15
63,0.0012601260126012602,7.899042848070776e-06,-1.2604589180801847e-09,-2.5661625299041043e-15
64,0.0012801280128012802,8.024440722948014e-06,-1.3213201249150574e-09,-2.7318532656009797e-15
65,0.0013001300130013002,8.14983936766334e-06,-1.384117452487947e-09,-2.905419718269799e-15
66,0.0013201320132013201,8.275238829590073e-06,-1.448971103102097e-09,-3.0871199149461855e-15
67,0.0013401340134013401,8.400639155724804e-06,-1.5159974267413539e-09,-3.2772264866789643e-15
68,0.0013601360136013601,8.526040230014455e-06,-1.5849050577260333e-09,-3.4759752835649115e-15
69,0.0013801380138013801,8.651442216099221e-06,-1.656107360873771e-09,-3.683654435788083e-15
70,0.0014001400140014,8.776844763682976e-06,-1.7287220608594488e-09,-3.900440586284098e-15
71,0.00142014201420142,8.902248406564243e-06,-1.8040909406842349e-09,-4.1266801623349914e-15
72,0.00144014401440144,9.02765289607699e-06,-1.881589154354769e-09,-4.362639889709573e-15
