,initial angle,arc_length,incidence angle,distance from mirror
0,0.0,0.0,-0.0,-0.0
1,1.0001000100010001e-06,1.5702175812989095e-08,1.1306247954257644e-05,1.7753269316300183e-13
2,2.0002000200020003e-06,3.1403870446317104e-08,2.2612400048396258e-05,5.325856936495714e-13
3,3.0003000300030004e-06,4.710600705340663e-08,3.391866097872551e-05,1.0651811418670764e-12
4,4.0004000400040005e-06,6.280775199962376e-08,4.52247961723205e-05,1.7752893566095098e-12
5,5.000500050005001e-06,7.850987865790207e-08,5.653106049931354e-05,2.6629472286965253e-12
6,6.000600060006001e-06,9.421182362094527e-08,6.783725713835562e-05,3.728124106726795e-12
7,7.000700070007001e-06,1.099138077084483e-07,7.914347734956441e-05,4.970833728699312e-12
8,8.000800080008001e-06,1.2561578222379313e-07,9.044969153610656e-05,6.391072480120057e-12
9,9.000900090009001e-06,1.413177500059555e-07,0.00010175590168752684,7.988840370062486e-12
10,1.0001000100010001e-05,1.570197546096985e-07,0.0001130621209698506,9.764142314040028e-12
11,1.1001100110011001e-05,1.727217440958336e-07,0.00012436833745587024,1.1716972641180204e-11
12,1.2001200120012002e-05,1.8842368401903364e-07,0.00013567454320607982,1.3847326167709677e-11
13,1.3001300130013002e-05,2.0412569497181298e-07,0.00014698076341771257,1.615521972474247e-11
14,1.4001400140014002e-05,2.1982763389687654e-07,0.00015828696424319082,1.8640631969922772e-11
15,1.5001500150015002e-05,2.355296284072026e-07,0.00016959318035280775,2.1303583156811298e-11
16,1.6001600160016002e-05,2.5123156350245593e-07,0.00018089937953927345,2.4144053473108566e-11
17,1.7001700170017002e-05,2.669335516137049e-07,0.00019220559864978454,2.716206349802298e-11
18,1.8001800180018002e-05,2.8263554200809496e-07,0.0002035118198124352,3.035760413786268e-11
19,1.9001900190019003e-05,2.9833751741965226e-07,0.0002148180279329967,3.373067153042582e-11
20,2.0002000200020003e-05,3.140394960690001e-07,0.00022612424550565245,3.7281269605455465e-11
